scornful,stung,,peaceable,,,,
scotch,suffer,,peaceful,,,,
scrapper,suffering,,penchant,,,,
scratchy,suicidal,,pep up,,,,
sealed,sulky,,perki,,,,
see r,sullen,,perkiness,,,,
see red,superfluous,,pick up,,,,
seethe,suppress,,playful,,,,
seething,swallow,,pleas,,,,
self-important,sweetheart,,please,,,,
separated,sweetie,,pleased,,,,
set-apart,take,,pleasing,,,,
shock,take away,,pollyannaish,,,,
shocked,take back,,praiseworthili,,,,
short temp,take out,,praiseworthily,,,,
short temper,tear,,predilect,,,,
sick,tearaway,,predilection,,,,
sick of,tearful,,preen,,,,
sicken,tearfulness,,prefer,,,,
sinister,tormented,,preference,,,,
so-so,tortured,,pride,,,,
sore,toss off,,prideful,,,,
span,trouble,,promising,,,,
spite,trounce,,promote,,,,
spiteful,truelove,,prompt,,,,
spitefulness,two-dimensional,,protect,,,,
spleen,tyrann,,protective,,,,
spoil,tyrannical,,protectively,,,,
spout,tyrannous,,protectiveness,,,,
stale,ugly,,proud,,,,
stand up,unbeloved,,proud of,,,,
steamed,unbendable,,proudly,,,,
stew,unbiased,,puppy lov,,,,
stir up,unbiassed,,puppy love,,,,
strong-growing,uncheer,,quenched,,,,
stung,uncheerful,,quiet,,,,
sulfurous,uncheerfulness,,quieten,,,,
sulk,unconditional,,racy,,,,
sulki,unconnected,,radiant,,,,
sulkiness,unconsolable,,rapport,,,,
sulky,undercoat,,rapt,,,,
sulphurous,unenrgetic,,rapturous,,,,
sure,unfaltering,,rattling,,,,
sweep,unfluctuating,,ravish,,,,
tantal,unhappi,,receptive,,,,
tantalize,unhappiness,,recreat,,,,
tantrum,unhappy,,recreate,,,,
tearing,unhinge,,refulgent,,,,
teas,unhumorous,,regard,,,,
teasing,unplug,,regenerate,,,,
techy,unprompted,,rejoic,,,,
temper,unsay,,rejoice,,,,
tempestuous,unshakable,,rejoicing,,,,
tender,unwavering,,rejuvenate,,,,
testy,unworthy,,relish,,,,
tetchy,vanquish,,resilient,,,,
the green-eyed monst,vapid,,respect,,,,
the green-eyed monster,vex,,respectable,,,,
threaten,vile,,restore,,,,
threatening,warn,,revel,,,,
thurify,waste,,revolutionise,,,,
thwart,wasted,,revolutionize,,,,
thwarted,weep,,rhapsodic,,,,
thwartwise,weepi,,riotous,,,,
tippy,weepiness,,riotously,,,,
tire,weeping,,romant,,,,
tired of,weepy,,romantic,,,,
torment,weight,,root on,,,,
track,Weltschmerz,,rouse,,,,
transgress,whimsical,,rush,,,,
transversal,wistful,,salubrious,,,,
transverse,withdraw,,satiabl,,,,
traverse,withdrawn,,satiable,,,,
trigger-happy,woe,,satisfact,,,,
umbrag,woebegon,,satisfaction,,,,
umbrage,woebegone,,satisfactori,,,,
umbrageous,woeful,,satisfactorili,,,,
unaffectionate,woefulli,,satisfactorily,,,,
unbalanced,woefully,,satisfactory,,,,
unbiased,woefulness,,satisfi,,,,
unbiassed,world-weari,,satisfiable,,,,
uncaring,world-weariness,,satisfied,,,,
uncongenial,world-weary,,satisfy,,,,
unfriendly,worthless,,satisfying,,,,
unhinged,wretch,,satisfyingly,,,,
uninvolved,wretched,,schadenfreud,,,,
unrestrained,,,schadenfreude,,,,
uprise,,,scream,,,,
vehement,,,screaming,,,,
veng,,,sedate,,,,
vengeful,,,self-centered,,,,
vengefully,,,self-centred,,,,
vengefulness,,,self-complac,,,,
venom,,,self-complacency,,,,
venomous,,,self-satisfact,,,,
vex,,,self-satisfaction,,,,
vexat,,,self-satisfi,,,,
vexati,,,self-satisfied,,,,
vexation,,,serene,,,,
vexatious,,,settle down,,,,
vexed,,,sex,,,,
vexing,,,shake,,,,
vicious,,,shake up,,,,
vindict,,,shiver,,,,
vindictive,,,shudder,,,,
vindictively,,,silly,,,,
vindictiveness,,,simmer down,,,,
violate,,,sizable,,,,
violent,,,sizeable,,,,
virulent,,,slaked,,,,
vital,,,smile,,,,
vitriolic,,,smiling,,,,
wake,,,smug,,,,
war-ridden,,,smugness,,,,
warpath,,,snappy,,,,
warring,,,soft spot,,,,
white,,,soft-boil,,,,
wild,,,soft-boiled,,,,
with hostil,,,softheart,,,,
with hostility,,,softhearted,,,,
world-weary,,,softheartedness,,,,
worsen,,,solac,,,,
wound,,,solace,,,,
wrath,,,sooth,,,,
wrathful,,,soothe,,,,
wrathfully,,,sound,,,,
wroth,,,spanking,,,,
wrothful,,,spread,,,,
,,,spread out,,,,
,,,springy,,,,
,,,steady,,,,
,,,still,,,,
,,,stimul,,,,
,,,stimulate,,,,
,,,stimulating,,,,
,,,stir,,,,
,,,strike,,,,
,,,subject,,,,
,,,sunni,,,,
,,,sunny,,,,
